action,行动
react,反应
active,活动
behave,好自为之
direct,直接
refresh,刷新
prize,奖
rise,崛起
amazing,了不起
benefit,益处
float,浮动
challenge,挑战
deny,否定
drama,剧
error,错误
host,东道主
ignore,置之不理
register,登记
tag,标签
label,标签
suffer,大吃苦头
transfer,调动
prefer,偏爱
priority,优先权
mode,模式
switch,开关
package,包装
packet,数据包
server,服务器
client,顾客
scan,扫描
display,展示
painful,痛苦的
document,文件
following,接下来
contest,竞争
disappear,消失
mask,面罩
screen,筛查
harm,伤害
relationship,关系
regular,正常
publish,发布
physical,物理
total,总计
responsible,负责任的
dusk,日落
company,公司
output,产量
input,输入
swing,摇摆
scare,唬吓
array,矩阵
trap,陷阱
encourage,鼓励
replace,顶替
achieve,达到
product,产品
peer,同龄人
worthy,配称
upset,混乱
image,图像
calm,从容不迫
primary,初级
negative,负面
destroy,毁灭
abandon,摒弃
fake,伪造品
vacation,度假
recovery,恢复
discover,发掘
width,宽度
mercy,怜悯
sympathy,同情
symbol,符号
pollute,污染
fancy,想象
fashion,时装
style,风格
horizon,视野
flash,焕发
complex,复杂
puzzle,难题
refuse,拒绝
transform,变
argument,争论
battle,战役
perfect,完美
gap,差距
revive,复活
insert,镶嵌
abstract,摘要
admin,管理
forum,论坛
board,董事会
apply,应用
background,背景
independent,独立的
partner,合作伙伴
random,随机的
create,创建
discount,折扣
connection,联系
link,链接
union,工会
define,定义
expose,揭露
positive,积极的
view,观点
express,发表
access,访问
excess,过量
exceed,超过
equal,与...相当
expend,开支
enable,以便
subject,议题
project,项目
local,本地
reverse,反向
respect,尊敬
spy,特务
data,数据
social,社会
freshman,大一学生
summary,摘要
require,要求
resume,简历
deserve,应得
item,项目
loyal,忠实
royal,皇家
odd,赔率
exchange,交流
